  0 795.4 1.1
  1 794.3 1.1
  2 793.2 1.2
  3 792.0 1.2
  4 790.8 1.3
  5 789.5 1.3
  6 788.1 1.4
  7 786.8 1.4
  8 785.3 1.5
  9 783.9 1.5
 10 782.3 1.6
 11 780.8 1.6
 12 779.2 1.6
 13 777.5 1.7
 14 775.9 1.7
 15 774.2 1.7
 16 772.4 1.8
 17 770.7 1.8
 18 768.9 1.8
 19 767.1 1.8
 20 765.3 1.8
 21 763.5 1.8
 22 761.8 1.8
 23 760.0 1.8
 24 758.3 1.8
 25 756.5 1.7
 26 754.8 1.7
 27 753.2 1.7
 28 751.5 1.7
 29 749.9 1.6
 30 748.3 1.6
 31 746.7 1.5
 32 745.2 1.5
 33 743.7 1.5
 34 742.2 1.5
 35 740.6 1.6
 36 739.1 1.6
 37 737.5 1.6
 38 735.9 1.6
 39 734.4 1.6
 40 732.8 1.6
 41 731.2 1.6
 42 729.6 1.7
 43 728.0 1.7
 44 726.4 1.7
 45 724.8 1.7
 46 723.2 1.7
 47 721.6 1.7
 48 719.9 1.7
 49 718.3 1.7
 50 716.7 1.7
 51 715.1 1.7
 52 713.4 1.7
 53 711.8 1.7
 54 710.1 1.8
 55 708.4 1.8
 56 706.7 1.8
 57 705.1 1.7
 58 703.4 1.7
 59 701.7 1.8
 60 700.0 1.8
 61 698.3 1.8
 62 696.5 1.8
 63 694.8 1.8
 64 693.1 1.8
 65 691.4 1.9
 66 689.6 1.9
 67 687.9 1.8
 68 686.1 1.8
 69 684.4 1.8
 70 682.6 1.8
 71 680.8 1.9
 72 679.0 1.9
 73 677.3 1.9
 74 675.5 1.9
 75 673.7 1.9
 76 671.8 1.9
 77 670.1 1.9
 78 668.2 1.9
 79 666.4 1.9
 80 664.6 1.9
 81 662.7 1.9
 82 660.9 2.0
 83 659.0 2.0
 84 657.2 2.0
 85 655.3 2.0
 86 653.5 1.9
 87 651.6 2.0
 88 649.7 2.0
 89 647.8 2.0
 90 645.9 2.0
 91 644.0 2.0
 92 642.1 2.0
 93 640.2 2.1
 94 638.3 2.0
 95 636.4 2.0
 96 634.4 2.0
 97 632.5 2.0
 98 630.5 2.1
